census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
12009065022,924.0,294.0,427.0,1272.0,650.0,1241.0
12009065121,1299.0,558.0,746.0,1565.0,800.0,1349.0
12009065122,1337.0,902.0,840.0,1750.0,737.0,1364.0
12009065123,634.0,242.0,266.0,959.0,613.0,957.0
12009065124,645.0,235.0,225.0,446.0,294.0,657.0
12009065125,991.0,692.0,706.0,1304.0,591.0,1569.0
12009065201,1062.0,473.0,497.0,1435.0,634.0,1394.0
12009065202,1188.0,384.0,536.0,1562.0,703.0,867.0
12009065231,1122.0,307.0,318.0,1832.0,998.0,952.0
12009065234,249.0,101.0,138.0,737.0,698.0,1739.0
12009065235,302.0,115.0,130.0,716.0,859.0,3332.0
12009065236,215.0,73.0,57.0,495.0,360.0,319.0
12009066101,741.0,175.0,174.0,1143.0,714.0,1136.0
12009066103,192.0,74.0,88.0,323.0,357.0,881.0
12009066104,662.0,154.0,178.0,1248.0,965.0,1534.0
12009066200,455.0,148.0,181.0,824.0,404.0,614.0
12009066301,1222.0,377.0,537.0,1877.0,925.0,1417.0
12009066302,864.0,226.0,285.0,1234.0,632.0,983.0
12009066400,817.0,322.0,410.0,1338.0,729.0,1412.0
12009066500,607.0,216.0,205.0,1043.0,555.0,717.0
12009066600,795.0,268.0,263.0,1235.0,692.0,1024.0
12009066700,1000.0,265.0,379.0,1441.0,688.0,966.0
12009066800,471.0,87.0,238.0,433.0,107.0,90.0
12009066900,1034.0,379.0,464.0,1809.0,984.0,1459.0
12009067100,397.0,306.0,290.0,226.0,14.0,16.0
12009068101,261.0,148.0,231.0,632.0,347.0,407.0
12009068102,517.0,147.0,162.0,920.0,628.0,941.0
12009068200,391.0,136.0,156.0,855.0,485.0,816.0
12009068300,116.0,72.0,92.0,452.0,468.0,1433.0
12009068400,278.0,97.0,131.0,583.0,342.0,725.0
12009068501,198.0,135.0,173.0,681.0,410.0,640.0
12009068502,255.0,200.0,265.0,931.0,467.0,493.0
12009068601,212.0,151.0,197.0,618.0,322.0,414.0
12009068602,427.0,268.0,370.0,1051.0,666.0,1056.0
12009069100,912.0,258.0,281.0,1524.0,748.0,881.0
12009069200,387.0,177.0,148.0,750.0,344.0,596.0
12009069300,588.0,157.0,198.0,969.0,503.0,580.0
12009069400,1400.0,313.0,246.0,1918.0,1078.0,1188.0
12009069700,491.0,176.0,212.0,681.0,283.0,391.0
12009069801,667.0,193.0,203.0,1091.0,582.0,808.0
12009069802,859.0,332.0,410.0,1263.0,524.0,806.0
12009069901,1807.0,408.0,377.0,2602.0,1240.0,1548.0
12009069902,1010.0,351.0,421.0,1093.0,510.0,1043.0
12009071100,485.0,152.0,148.0,944.0,741.0,1429.0
12009071200,3179.0,684.0,1196.0,4134.0,1737.0,2113.0
12009071301,964.0,276.0,214.0,1404.0,718.0,746.0
12009071322,2675.0,824.0,1055.0,2838.0,1097.0,960.0
12009071332,3871.0,1089.0,1533.0,3611.0,1157.0,997.0
12009071334,2327.0,729.0,867.0,2583.0,1068.0,1087.0
12009071335,1088.0,347.0,317.0,1494.0,721.0,817.0
12009071336,1481.0,451.0,628.0,1893.0,927.0,1542.0
12009071337,1935.0,609.0,741.0,2217.0,862.0,913.0
12009071338,2206.0,638.0,919.0,2445.0,1017.0,1126.0
12009071339,1902.0,496.0,754.0,2216.0,695.0,779.0
12009071340,3252.0,931.0,1298.0,3676.0,1568.0,1673.0
12009071400,476.0,258.0,293.0,912.0,479.0,765.0
12009071500,358.0,186.0,219.0,723.0,447.0,677.0
12009071600,782.0,341.0,402.0,1375.0,606.0,943.0
12009980000,0.0,1.0,1.0,3.0,2.0,0.0
12009980100,0.0,0.0,0.0,0.0,0.0,0.0
12009990000,0.0,0.0,0.0,0.0,0.0,0.0
12011010102,631.0,199.0,278.0,1172.0,522.0,458.0
12011010103,493.0,173.0,291.0,1142.0,569.0,854.0
12011010104,118.0,130.0,262.0,665.0,349.0,767.0
12011010200,1135.0,474.0,834.0,2085.0,721.0,906.0
12011010304,906.0,354.0,358.0,945.0,417.0,377.0
12011010305,892.0,651.0,995.0,1114.0,337.0,715.0
12011010306,538.0,208.0,286.0,711.0,258.0,388.0
12011010307,1185.0,468.0,567.0,1302.0,449.0,556.0
12011010308,549.0,340.0,558.0,1036.0,588.0,1395.0
12011010401,1131.0,325.0,505.0,1754.0,564.0,503.0
12011010402,453.0,156.0,202.0,660.0,516.0,1584.0
12011010403,15.0,13.0,27.0,241.0,711.0,3709.0
12011010405,1211.0,643.0,1398.0,2251.0,594.0,624.0
12011010406,901.0,290.0,609.0,1332.0,360.0,408.0
12011010407,726.0,322.0,670.0,1625.0,692.0,1291.0
12011010502,822.0,209.0,367.0,1128.0,282.0,217.0
12011010503,3960.0,533.0,549.0,4258.0,1359.0,663.0
12011010504,1801.0,346.0,420.0,2134.0,602.0,417.0
12011010601,2435.0,443.0,465.0,2949.0,1120.0,897.0
12011010603,1510.0,428.0,369.0,1887.0,737.0,328.0
12011010604,1190.0,329.0,369.0,1388.0,578.0,255.0
12011010605,1852.0,477.0,493.0,2314.0,928.0,512.0
12011010606,1527.0,550.0,887.0,2027.0,465.0,305.0
12011010607,2888.0,841.0,1298.0,3369.0,793.0,769.0
12011010609,1027.0,248.0,533.0,1396.0,364.0,241.0
12011010610,1872.0,508.0,819.0,2315.0,718.0,843.0
12011010611,1349.0,323.0,314.0,1555.0,501.0,242.0
12011010612,2008.0,405.0,549.0,2389.0,591.0,316.0
12011010701,1243.0,521.0,686.0,1515.0,592.0,727.0
12011010702,2278.0,777.0,909.0,2151.0,951.0,968.0
12011010800,1578.0,616.0,802.0,2142.0,668.0,476.0
12011010901,386.0,117.0,145.0,720.0,362.0,635.0
12011010902,412.0,136.0,270.0,908.0,490.0,777.0
12011011000,59.0,35.0,59.0,297.0,381.0,1053.0
12011020101,1581.0,667.0,1250.0,2265.0,819.0,975.0
12011020103,1188.0,531.0,977.0,1910.0,540.0,685.0
12011020104,559.0,213.0,367.0,869.0,304.0,403.0
12011020204,1101.0,419.0,726.0,1578.0,751.0,1207.0
12011020205,1517.0,471.0,734.0,2163.0,839.0,831.0
12011020206,1128.0,375.0,539.0,1375.0,490.0,449.0
12011020207,909.0,280.0,434.0,1287.0,882.0,1895.0
12011020209,657.0,246.0,305.0,793.0,256.0,303.0
12011020210,1358.0,477.0,541.0,1747.0,758.0,1088.0
12011020211,373.0,137.0,175.0,494.0,369.0,784.0
12011020212,302.0,135.0,186.0,598.0,619.0,1400.0
12011020302,1805.0,693.0,1014.0,2220.0,681.0,655.0
12011020308,1788.0,600.0,645.0,1662.0,470.0,313.0
12011020309,1465.0,486.0,775.0,1953.0,608.0,330.0
