tract,0-18,19-25,26-34,35-54,55-64,65+
04019003400,1371.0,501.0,688.0,1630.0,758.0,744.0
04019003501,2541.0,952.0,1051.0,2298.0,744.0,618.0
04019003502,1096.0,483.0,551.0,1158.0,506.0,571.0
04019003503,1498.0,485.0,572.0,1263.0,370.0,313.0
04019003504,697.0,235.0,275.0,777.0,342.0,380.0
04019003600,1654.0,1293.0,883.0,643.0,96.0,46.0
04019003702,3021.0,821.0,998.0,1889.0,556.0,457.0
04019003704,1674.0,521.0,534.0,1150.0,440.0,437.0
04019003705,2123.0,654.0,712.0,1551.0,561.0,560.0
04019003706,1778.0,606.0,689.0,1312.0,413.0,323.0
04019003707,1367.0,398.0,461.0,883.0,245.0,188.0
04019003801,1325.0,430.0,452.0,975.0,366.0,407.0
04019003802,1818.0,551.0,615.0,1306.0,441.0,590.0
04019003901,666.0,215.0,211.0,496.0,223.0,302.0
04019003902,859.0,283.0,327.0,653.0,271.0,342.0
04019003903,1079.0,350.0,352.0,810.0,352.0,325.0
04019004008,1026.0,424.0,539.0,1238.0,525.0,796.0
04019004010,770.0,304.0,383.0,828.0,297.0,633.0
04019004011,1886.0,694.0,827.0,1955.0,803.0,1297.0
04019004022,1332.0,392.0,557.0,1803.0,887.0,1367.0
04019004025,1304.0,381.0,379.0,1827.0,1206.0,1298.0
04019004026,1259.0,295.0,548.0,1706.0,870.0,965.0
04019004029,1272.0,350.0,562.0,1291.0,494.0,516.0
04019004030,378.0,70.0,55.0,453.0,337.0,429.0
04019004031,607.0,312.0,372.0,1000.0,667.0,1007.0
04019004032,686.0,469.0,414.0,936.0,494.0,700.0
04019004033,1009.0,530.0,519.0,1128.0,357.0,360.0
04019004034,1028.0,380.0,487.0,984.0,321.0,269.0
04019004035,780.0,357.0,477.0,798.0,458.0,822.0
04019004036,799.0,253.0,376.0,878.0,351.0,280.0
04019004037,729.0,303.0,326.0,838.0,343.0,410.0
04019004038,813.0,272.0,332.0,851.0,309.0,348.0
04019004039,241.0,253.0,249.0,445.0,320.0,940.0
04019004042,1065.0,558.0,631.0,1383.0,748.0,719.0
04019004043,1028.0,262.0,365.0,1365.0,561.0,637.0
04019004044,808.0,195.0,220.0,1243.0,732.0,779.0
04019004046,948.0,484.0,443.0,1209.0,655.0,747.0
04019004047,547.0,156.0,189.0,824.0,492.0,714.0
04019004048,1012.0,399.0,473.0,1362.0,603.0,766.0
04019004049,507.0,205.0,230.0,744.0,348.0,577.0
04019004050,427.0,93.0,61.0,577.0,412.0,383.0
04019004051,1096.0,260.0,200.0,1462.0,1159.0,937.0
04019004052,277.0,64.0,84.0,544.0,465.0,530.0
04019004053,567.0,243.0,268.0,853.0,552.0,511.0
04019004054,272.0,68.0,67.0,500.0,346.0,295.0
04019004055,780.0,310.0,289.0,913.0,563.0,529.0
04019004056,527.0,156.0,203.0,607.0,249.0,322.0
04019004057,1112.0,325.0,474.0,1476.0,754.0,605.0
04019004058,1030.0,311.0,522.0,1281.0,560.0,755.0
04019004061,1267.0,232.0,343.0,1577.0,813.0,645.0
04019004062,1997.0,352.0,943.0,1687.0,315.0,234.0
04019004063,1519.0,265.0,736.0,1483.0,429.0,335.0
04019004064,2187.0,392.0,753.0,2674.0,1113.0,709.0
04019004065,1332.0,235.0,412.0,1305.0,361.0,220.0
04019004066,950.0,196.0,453.0,993.0,258.0,158.0
04019004067,403.0,431.0,457.0,642.0,305.0,535.0
04019004068,825.0,390.0,415.0,1094.0,520.0,1359.0
04019004069,811.0,433.0,406.0,958.0,451.0,652.0
04019004070,808.0,501.0,492.0,795.0,286.0,368.0
04019004071,734.0,651.0,577.0,928.0,411.0,1209.0
04019004072,626.0,263.0,294.0,659.0,240.0,430.0
04019004073,1630.0,343.0,532.0,1660.0,414.0,286.0
04019004074,677.0,157.0,262.0,709.0,154.0,105.0
04019004107,2510.0,455.0,1020.0,2783.0,1076.0,821.0
04019004109,1420.0,316.0,342.0,1860.0,792.0,621.0
04019004110,1208.0,356.0,406.0,972.0,440.0,271.0
04019004112,848.0,289.0,306.0,850.0,352.0,284.0
04019004113,176.0,694.0,995.0,1824.0,364.0,160.0
04019004114,2049.0,516.0,618.0,1522.0,416.0,375.0
04019004115,2754.0,811.0,1050.0,1938.0,502.0,371.0
04019004116,881.0,290.0,391.0,588.0,183.0,135.0
04019004117,2220.0,688.0,846.0,1405.0,423.0,297.0
04019004119,874.0,215.0,434.0,864.0,1177.0,2505.0
04019004120,169.0,53.0,40.0,216.0,222.0,160.0
04019004122,1579.0,556.0,675.0,788.0,165.0,92.0
04019004307,62.0,29.0,34.0,257.0,602.0,2134.0
04019004310,631.0,192.0,230.0,612.0,248.0,197.0
04019004311,1153.0,365.0,345.0,1285.0,684.0,489.0
04019004312,1643.0,545.0,579.0,1453.0,693.0,840.0
04019004313,1224.0,342.0,428.0,1455.0,813.0,660.0
04019004316,895.0,213.0,308.0,979.0,615.0,619.0
04019004317,37.0,15.0,23.0,171.0,527.0,2086.0
