census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
29053950500,1285.0,316.0,509.0,1395.0,664.0,788.0
29055450101,474.0,135.0,181.0,628.0,315.0,348.0
29055450102,1712.0,519.0,686.0,1715.0,739.0,887.0
29055450200,1026.0,298.0,379.0,1288.0,622.0,638.0
29055450301,513.0,138.0,209.0,668.0,371.0,527.0
29055450302,1266.0,437.0,530.0,1206.0,461.0,732.0
29055450400,1325.0,402.0,540.0,1504.0,629.0,885.0
29057480100,1101.0,275.0,381.0,1298.0,751.0,972.0
29057480200,788.0,165.0,262.0,875.0,437.0,645.0
29059480100,1266.0,294.0,409.0,1342.0,659.0,799.0
29059480200,1302.0,394.0,550.0,1306.0,613.0,1086.0
29059480300,1831.0,488.0,626.0,2080.0,946.0,968.0
29061470100,853.0,216.0,337.0,901.0,520.0,657.0
29061470200,1513.0,340.0,475.0,1300.0,643.0,784.0
29063080100,1503.0,853.0,1480.0,3206.0,904.0,1102.0
29063080200,948.0,293.0,365.0,1225.0,547.0,669.0
29065960100,1235.0,296.0,472.0,1509.0,671.0,885.0
29065960200,1204.0,324.0,409.0,1470.0,755.0,1035.0
29065960300,552.0,207.0,245.0,599.0,280.0,529.0
29065960400,867.0,280.0,350.0,773.0,316.0,528.0
29067950100,848.0,232.0,300.0,995.0,669.0,709.0
29067950200,1356.0,375.0,473.0,1608.0,843.0,971.0
29067950500,1028.0,361.0,397.0,1063.0,541.0,1036.0
29069360100,750.0,284.0,273.0,737.0,312.0,366.0
29069360200,647.0,168.0,268.0,675.0,393.0,576.0
29069360300,1110.0,286.0,397.0,1282.0,568.0,791.0
29069360400,1302.0,319.0,489.0,1255.0,507.0,590.0
29069360500,843.0,279.0,358.0,761.0,361.0,449.0
29069360600,1335.0,462.0,519.0,1238.0,570.0,645.0
29069360700,881.0,244.0,332.0,960.0,489.0,742.0
29069360800,686.0,153.0,235.0,661.0,275.0,411.0
29069360900,453.0,146.0,201.0,562.0,298.0,319.0
29069361000,552.0,162.0,188.0,605.0,250.0,379.0
29071800100,2304.0,518.0,694.0,2846.0,1184.0,1113.0
29071800201,1253.0,422.0,600.0,1430.0,595.0,933.0
29071800202,1507.0,329.0,464.0,1749.0,713.0,861.0
29071800300,1891.0,717.0,862.0,2118.0,847.0,1120.0
29071800401,1326.0,346.0,480.0,1518.0,667.0,805.0
29071800402,1704.0,488.0,579.0,2350.0,910.0,937.0
29071800500,1790.0,481.0,644.0,2327.0,992.0,1043.0
29071800601,1995.0,699.0,1019.0,1848.0,640.0,788.0
29071800602,2348.0,667.0,979.0,2496.0,954.0,1056.0
29071800701,1887.0,718.0,842.0,2141.0,827.0,968.0
29071800702,777.0,261.0,399.0,1017.0,370.0,314.0
29071800800,1851.0,598.0,699.0,2640.0,1025.0,913.0
29071800901,864.0,237.0,338.0,937.0,379.0,402.0
29071800902,1824.0,681.0,824.0,1854.0,723.0,900.0
29071801000,904.0,256.0,291.0,1299.0,559.0,500.0
29071801101,1208.0,464.0,536.0,1208.0,451.0,648.0
