tract,0-18,19-25,26-34,35-54,55-64,65+
41047001401,1408.0,361.0,608.0,1459.0,803.0,1093.0
41047001402,1489.0,495.0,689.0,1629.0,741.0,698.0
41047001501,1131.0,411.0,437.0,1179.0,549.0,744.0
41047001502,1733.0,439.0,764.0,1404.0,538.0,457.0
41047001503,1774.0,545.0,740.0,1442.0,480.0,494.0
41047001601,2193.0,621.0,912.0,2040.0,954.0,1041.0
41047001602,3135.0,1445.0,1586.0,2031.0,627.0,600.0
41047001603,2241.0,545.0,896.0,1875.0,798.0,703.0
41047001604,2556.0,982.0,1122.0,2194.0,816.0,815.0
41047001701,2026.0,820.0,992.0,1408.0,514.0,729.0
41047001702,1784.0,476.0,741.0,1378.0,499.0,757.0
41047001703,1202.0,288.0,514.0,1143.0,562.0,675.0
41047001801,1946.0,702.0,836.0,1622.0,696.0,780.0
41047001802,2657.0,819.0,1006.0,2116.0,658.0,521.0
41047001803,777.0,1055.0,895.0,1565.0,424.0,661.0
41047002000,2496.0,707.0,1245.0,2562.0,1101.0,1224.0
41047002101,471.0,292.0,328.0,572.0,241.0,378.0
41047002102,1524.0,531.0,752.0,1553.0,819.0,965.0
41047002201,474.0,102.0,195.0,561.0,316.0,352.0
41047002202,1638.0,468.0,602.0,1735.0,956.0,900.0
41047002301,891.0,240.0,408.0,985.0,398.0,304.0
41047002303,1942.0,553.0,901.0,2032.0,950.0,843.0
41047002304,1185.0,370.0,596.0,1412.0,749.0,825.0
41047002400,788.0,163.0,237.0,963.0,706.0,614.0
41047002501,2525.0,599.0,1039.0,2610.0,961.0,1271.0
41047002502,1303.0,354.0,434.0,1260.0,690.0,1042.0
41047002600,585.0,138.0,184.0,548.0,280.0,318.0
41047002700,1844.0,496.0,663.0,2393.0,1559.0,1637.0
41047002800,910.0,217.0,346.0,1095.0,697.0,619.0
41047010100,444.0,88.0,161.0,445.0,174.0,186.0
41047010201,630.0,159.0,283.0,800.0,425.0,358.0
41047010202,2180.0,539.0,849.0,2113.0,856.0,780.0
41047010303,1646.0,514.0,593.0,1362.0,415.0,377.0
41047010304,2534.0,710.0,917.0,1675.0,386.0,318.0
41047010305,1622.0,642.0,576.0,1066.0,324.0,340.0
41047010306,3104.0,905.0,1220.0,2040.0,631.0,1299.0
41047010307,1118.0,282.0,428.0,1162.0,865.0,1915.0
41047010400,1442.0,435.0,600.0,1221.0,459.0,897.0
41047010501,1352.0,360.0,447.0,1519.0,947.0,864.0
41047010502,1861.0,416.0,747.0,1557.0,753.0,694.0
41047010503,1070.0,295.0,418.0,1009.0,530.0,601.0
41047010600,530.0,136.0,199.0,758.0,432.0,435.0
41047010701,2293.0,710.0,920.0,2141.0,923.0,1028.0
41047010702,1570.0,367.0,532.0,1742.0,820.0,1405.0
41047010801,1805.0,404.0,634.0,1710.0,790.0,718.0
41047010802,1677.0,403.0,630.0,1742.0,870.0,789.0
41049970100,2590.0,680.0,908.0,2196.0,956.0,770.0
41049970200,778.0,155.0,246.0,886.0,490.0,651.0
41051000100,1109.0,423.0,979.0,2019.0,857.0,660.0
41051000200,1021.0,489.0,1112.0,1843.0,674.0,751.0
41051000301,676.0,1316.0,795.0,1090.0,513.0,724.0
41051000302,1661.0,375.0,583.0,2203.0,1045.0,910.0
41051000401,634.0,296.0,612.0,1179.0,410.0,369.0
41051000402,651.0,261.0,705.0,1210.0,409.0,344.0
41051000501,717.0,333.0,835.0,1307.0,361.0,286.0
41051000502,969.0,397.0,868.0,1508.0,501.0,411.0
41051000601,1545.0,468.0,882.0,1644.0,547.0,359.0
41051000602,1332.0,488.0,847.0,1627.0,500.0,401.0
41051000701,746.0,326.0,733.0,1443.0,582.0,505.0
41051000702,937.0,398.0,936.0,1513.0,507.0,572.0
41051000801,775.0,422.0,984.0,1563.0,470.0,415.0
41051000802,776.0,517.0,1086.0,1504.0,463.0,286.0
41051000901,650.0,380.0,842.0,1334.0,463.0,298.0
41051000902,796.0,621.0,1072.0,1349.0,393.0,336.0
41051001000,713.0,675.0,1519.0,1736.0,536.0,326.0
41051001101,104.0,345.0,744.0,678.0,230.0,80.0
41051001102,155.0,203.0,351.0,403.0,154.0,99.0
41051001201,439.0,875.0,1743.0,1326.0,364.0,233.0
