tract,0-18,19-25,26-34,35-54,55-64,65+
05001480200,325.0,113.0,193.0,464.0,270.0,303.0
05001480300,819.0,246.0,342.0,908.0,435.0,417.0
05001480400,717.0,216.0,285.0,664.0,327.0,327.0
05001480500,1045.0,333.0,534.0,1079.0,458.0,769.0
05001480600,392.0,111.0,219.0,491.0,235.0,323.0
05001480700,807.0,227.0,316.0,778.0,420.0,451.0
05001480800,307.0,85.0,136.0,401.0,254.0,255.0
05003960100,488.0,154.0,163.0,552.0,300.0,290.0
05003960200,692.0,174.0,235.0,839.0,357.0,422.0
05003960300,1385.0,385.0,562.0,1398.0,600.0,712.0
05003960400,414.0,116.0,175.0,540.0,265.0,305.0
05003960500,707.0,248.0,289.0,784.0,339.0,426.0
05003960600,1490.0,446.0,561.0,1534.0,724.0,1092.0
05003960700,455.0,145.0,163.0,561.0,308.0,297.0
05005950100,918.0,346.0,438.0,1035.0,609.0,1378.0
05005950200,973.0,302.0,383.0,1031.0,570.0,1431.0
05005950300,1013.0,368.0,457.0,1041.0,620.0,1465.0
05005950400,645.0,187.0,259.0,700.0,438.0,1087.0
05005950500,993.0,265.0,345.0,1315.0,931.0,1143.0
05005950600,631.0,169.0,213.0,971.0,666.0,1198.0
05005950700,541.0,186.0,211.0,884.0,655.0,994.0
05005950800,922.0,257.0,362.0,1539.0,1208.0,1849.0
05005950900,1291.0,340.0,561.0,1570.0,843.0,1114.0
05007020101,1878.0,455.0,797.0,1731.0,555.0,604.0
05007020102,1697.0,357.0,557.0,1785.0,643.0,670.0
05007020201,1182.0,478.0,544.0,1162.0,415.0,354.0
05007020203,724.0,209.0,254.0,888.0,415.0,483.0
05007020205,2063.0,563.0,725.0,1603.0,406.0,343.0
05007020206,2375.0,724.0,1055.0,1537.0,349.0,257.0
05007020301,1229.0,432.0,562.0,1020.0,292.0,350.0
05007020302,1163.0,478.0,545.0,1019.0,271.0,355.0
05007020304,909.0,396.0,507.0,930.0,288.0,387.0
05007020305,1338.0,308.0,533.0,1216.0,345.0,327.0
05007020401,1754.0,549.0,759.0,1709.0,757.0,969.0
05007020402,1251.0,341.0,498.0,1106.0,437.0,800.0
05007020404,1327.0,446.0,507.0,1117.0,371.0,460.0
05007020405,1011.0,230.0,303.0,1105.0,294.0,242.0
05007020501,1552.0,345.0,872.0,1486.0,404.0,506.0
05007020503,1094.0,522.0,950.0,875.0,228.0,446.0
05007020504,981.0,325.0,496.0,927.0,251.0,226.0
05007020603,1651.0,578.0,1293.0,1658.0,268.0,186.0
05007020604,1317.0,375.0,670.0,1206.0,275.0,272.0
05007020605,1320.0,328.0,541.0,1219.0,402.0,387.0
05007020606,1310.0,156.0,286.0,1498.0,430.0,373.0
05007020701,1299.0,252.0,733.0,1386.0,589.0,810.0
05007020703,980.0,177.0,486.0,1215.0,599.0,1188.0
05007020704,1112.0,154.0,405.0,1283.0,474.0,562.0
05007020801,268.0,58.0,162.0,537.0,859.0,2112.0
05007020803,712.0,187.0,435.0,977.0,532.0,1347.0
05007020805,884.0,166.0,414.0,1115.0,516.0,1525.0
05007020806,1053.0,187.0,431.0,1204.0,508.0,1151.0
05007020901,2434.0,684.0,1500.0,1819.0,339.0,198.0
05007020902,2010.0,442.0,957.0,1843.0,661.0,616.0
05007021001,1510.0,347.0,567.0,1565.0,611.0,630.0
05007021002,2116.0,608.0,809.0,2010.0,721.0,772.0
05007021101,1437.0,574.0,696.0,1202.0,351.0,356.0
05007021102,1079.0,311.0,423.0,935.0,305.0,293.0
05007021201,1052.0,1225.0,411.0,855.0,288.0,454.0
05007021202,887.0,265.0,407.0,783.0,362.0,451.0
05007021301,1888.0,593.0,711.0,1976.0,736.0,693.0
05007021304,1591.0,499.0,966.0,1297.0,223.0,123.0
05007021305,1085.0,488.0,666.0,1200.0,438.0,412.0
05007021306,1193.0,175.0,314.0,1309.0,341.0,227.0
05007021308,1111.0,87.0,527.0,1105.0,191.0,136.0
05007021310,2329.0,514.0,1164.0,2279.0,649.0,590.0
05007021311,1349.0,314.0,539.0,1458.0,391.0,418.0
05007021404,941.0,245.0,322.0,1171.0,454.0,387.0
05007021405,341.0,97.0,164.0,544.0,435.0,473.0
05007021406,1949.0,515.0,919.0,1583.0,395.0,305.0
05007021407,887.0,255.0,325.0,1442.0,714.0,752.0
05007021408,1519.0,476.0,699.0,1394.0,509.0,432.0
05007021409,434.0,118.0,159.0,707.0,489.0,576.0
05009790100,1732.0,368.0,630.0,1930.0,1004.0,1299.0
05009790200,1425.0,382.0,523.0,1712.0,875.0,1105.0
05009790300,1371.0,390.0,572.0,1613.0,690.0,777.0
05009790400,1415.0,397.0,551.0,1716.0,892.0,1103.0
05009790501,964.0,408.0,466.0,987.0,424.0,855.0
05009790502,938.0,467.0,428.0,1004.0,450.0,749.0
05009790600,1194.0,435.0,505.0,1211.0,543.0,785.0
05011950100,531.0,227.0,245.0,644.0,359.0,516.0
05011950200,499.0,166.0,172.0,543.0,276.0,370.0
05011950300,551.0,171.0,249.0,647.0,263.0,352.0
05011950400,471.0,151.0,208.0,467.0,206.0,340.0
05011950500,799.0,274.0,300.0,798.0,355.0,463.0
05013480100,587.0,194.0,241.0,743.0,377.0,458.0
05013480200,597.0,258.0,270.0,871.0,374.0,465.0
05015950100,436.0,127.0,195.0,773.0,666.0,558.0
05015950200,796.0,231.0,321.0,1458.0,1316.0,1903.0
05015950300,2072.0,641.0,783.0,1803.0,738.0,1045.0
05015950400,1076.0,330.0,435.0,1227.0,590.0,643.0
05015950500,2119.0,573.0,832.0,2102.0,960.0,982.0
05017080100,696.0,314.0,419.0,1036.0,532.0,639.0
05017080200,592.0,205.0,202.0,648.0,312.0,455.0
05017080300,820.0,234.0,296.0,764.0,394.0,626.0
05017080400,775.0,189.0,270.0,719.0,336.0,429.0
05019953601,886.0,1470.0,378.0,828.0,405.0,715.0
05019953602,800.0,1785.0,310.0,759.0,371.0,444.0
