census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
01031010300,1035.0,264.0,377.0,1329.0,634.0,661.0
01031010400,507.0,187.0,167.0,661.0,292.0,360.0
01031010500,1055.0,327.0,472.0,1280.0,591.0,883.0
01031010600,366.0,108.0,117.0,470.0,219.0,292.0
01031010700,567.0,155.0,180.0,706.0,303.0,394.0
01031010800,667.0,161.0,292.0,940.0,401.0,412.0
01031010900,506.0,181.0,279.0,605.0,291.0,280.0
01031011000,1025.0,322.0,467.0,911.0,396.0,464.0
01031011100,530.0,161.0,253.0,494.0,213.0,409.0
01031011201,2205.0,476.0,828.0,2507.0,994.0,1127.0
01031011202,2234.0,1375.0,1846.0,1968.0,692.0,514.0
01031011300,1079.0,407.0,491.0,1006.0,442.0,777.0
01033020100,827.0,310.0,454.0,976.0,380.0,558.0
01033020200,434.0,189.0,201.0,584.0,238.0,330.0
01033020300,513.0,198.0,210.0,548.0,251.0,336.0
01033020400,331.0,84.0,152.0,410.0,211.0,354.0
01033020500,1230.0,417.0,567.0,1454.0,658.0,938.0
01033020600,904.0,392.0,424.0,1022.0,557.0,881.0
01033020701,1601.0,418.0,594.0,1944.0,761.0,864.0
01033020703,1245.0,392.0,580.0,1563.0,648.0,823.0
01033020704,975.0,369.0,443.0,1157.0,546.0,869.0
01033020801,989.0,337.0,414.0,1285.0,745.0,759.0
01033020802,839.0,311.0,348.0,1147.0,504.0,655.0
01033020901,1082.0,354.0,405.0,1317.0,572.0,650.0
01033020902,915.0,286.0,368.0,1247.0,559.0,647.0
01033021000,847.0,264.0,339.0,1132.0,600.0,799.0
01035960200,438.0,124.0,159.0,517.0,286.0,308.0
01035960300,406.0,89.0,141.0,512.0,276.0,327.0
01035960400,707.0,258.0,271.0,955.0,489.0,610.0
01035960500,440.0,147.0,203.0,464.0,249.0,279.0
01035960600,1256.0,337.0,416.0,1185.0,665.0,838.0
01037961000,935.0,274.0,382.0,1213.0,555.0,635.0
01037961100,871.0,278.0,376.0,1216.0,602.0,631.0
01037961200,715.0,254.0,286.0,1087.0,640.0,704.0
01039961600,935.0,275.0,360.0,1237.0,633.0,733.0
01039961700,907.0,310.0,391.0,1182.0,578.0,702.0
01039961800,766.0,256.0,310.0,736.0,384.0,712.0
01039961900,521.0,178.0,207.0,587.0,311.0,344.0
01039962000,957.0,369.0,346.0,1109.0,476.0,693.0
01039962100,517.0,216.0,287.0,563.0,198.0,253.0
01039962300,774.0,258.0,345.0,977.0,450.0,514.0
01039962400,699.0,183.0,248.0,886.0,443.0,714.0
01039962500,309.0,84.0,141.0,385.0,203.0,418.0
01039962600,417.0,162.0,154.0,424.0,169.0,206.0
01039962700,502.0,106.0,204.0,425.0,200.0,275.0
01039962800,420.0,127.0,159.0,521.0,249.0,283.0
01039962900,425.0,124.0,183.0,560.0,246.0,339.0
01039963000,857.0,256.0,328.0,978.0,544.0,753.0
01041963400,525.0,137.0,195.0,595.0,246.0,245.0
01041963500,494.0,173.0,196.0,569.0,234.0,263.0
01041963600,769.0,249.0,322.0,908.0,452.0,512.0
01041963700,969.0,275.0,384.0,1071.0,509.0,654.0
01041963800,421.0,117.0,146.0,482.0,242.0,296.0
01041963900,349.0,77.0,116.0,450.0,190.0,240.0
01043964100,1365.0,463.0,578.0,1708.0,736.0,798.0
01043964200,1976.0,628.0,758.0,2132.0,924.0,1030.0
01043964300,1237.0,363.0,534.0,1459.0,697.0,765.0
01043964400,1026.0,340.0,410.0,1224.0,576.0,573.0
01043964500,1043.0,356.0,429.0,1327.0,490.0,592.0
01043964600,1079.0,314.0,445.0,1179.0,501.0,550.0
01043964700,1217.0,411.0,508.0,1408.0,502.0,648.0
01043964800,1034.0,434.0,526.0,1107.0,468.0,774.0
01043964900,1589.0,523.0,666.0,1758.0,851.0,1389.0
01043965000,1416.0,592.0,793.0,1651.0,630.0,1082.0
01043965100,929.0,300.0,398.0,1100.0,444.0,459.0
01043965200,582.0,162.0,281.0,672.0,319.0,325.0
01043965300,1130.0,366.0,446.0,1362.0,579.0,704.0
01043965401,697.0,443.0,344.0,770.0,382.0,712.0
01043965402,1008.0,346.0,448.0,1175.0,542.0,726.0
01043965500,1305.0,420.0,588.0,1642.0,873.0,872.0
01043965600,465.0,127.0,214.0,629.0,427.0,410.0
01043965700,643.0,197.0,247.0,813.0,379.0,401.0
01045020000,1795.0,939.0,1341.0,626.0,15.0,15.0
01045020100,886.0,292.0,339.0,1149.0,519.0,673.0
01045020200,482.0,129.0,189.0,620.0,284.0,390.0
01045020300,570.0,159.0,231.0,710.0,361.0,391.0
01045020400,530.0,129.0,181.0,700.0,400.0,625.0
01045020500,492.0,180.0,213.0,556.0,288.0,333.0
01045020700,1019.0,345.0,410.0,934.0,366.0,480.0
01045020801,886.0,300.0,380.0,973.0,410.0,449.0
01045020802,980.0,349.0,429.0,1225.0,618.0,789.0
01045021101,1320.0,469.0,715.0,1483.0,503.0,478.0
01045021102,1047.0,466.0,641.0,1186.0,556.0,554.0
01045021200,682.0,209.0,305.0,790.0,379.0,357.0
01045021300,950.0,323.0,448.0,1202.0,578.0,589.0
01045021400,1484.0,541.0,683.0,1596.0,636.0,636.0
01047956100,1739.0,542.0,664.0,2075.0,956.0,849.0
01047956201,653.0,245.0,238.0,762.0,335.0,342.0
01047956202,590.0,175.0,189.0,701.0,318.0,369.0
01047956300,1210.0,409.0,387.0,922.0,416.0,478.0
01047956400,978.0,423.0,386.0,707.0,291.0,396.0
01047956500,1226.0,371.0,444.0,915.0,408.0,487.0
01047956600,1086.0,322.0,415.0,1083.0,468.0,469.0
01047956701,442.0,109.0,193.0,525.0,268.0,338.0
01047956702,378.0,129.0,172.0,431.0,209.0,303.0
01047956800,826.0,212.0,301.0,635.0,346.0,492.0
01047956900,718.0,212.0,219.0,818.0,405.0,463.0
01047957000,346.0,75.0,104.0,314.0,192.0,256.0
01047957100,285.0,86.0,122.0,420.0,195.0,254.0
01047957200,448.0,167.0,199.0,496.0,206.0,257.0
01047957300,1330.0,383.0,454.0,1162.0,505.0,412.0
01049960100,1507.0,484.0,578.0,1734.0,774.0,932.0
01049960200,905.0,215.0,352.0,1066.0,517.0,510.0
01049960300,1757.0,544.0,775.0,2025.0,844.0,1045.0
01049960400,1692.0,482.0,768.0,1892.0,847.0,887.0
01049960500,1336.0,389.0,575.0,1619.0,682.0,832.0
01049960600,1743.0,514.0,673.0,1889.0,761.0,895.0
01049960700,2879.0,783.0,1071.0,2353.0,753.0,890.0
01049960800,1257.0,443.0,556.0,1172.0,506.0,626.0
01049960900,926.0,367.0,537.0,1105.0,463.0,477.0
01049961000,951.0,317.0,448.0,1145.0,535.0,573.0
01049961100,905.0,248.0,402.0,807.0,363.0,580.0
01049961200,554.0,86.0,180.0,679.0,320.0,309.0
01049961300,1858.0,527.0,786.0,1613.0,602.0,672.0
01049961400,1105.0,297.0,463.0,1178.0,660.0,647.0
01051030100,1784.0,1477.0,1769.0,3546.0,906.0,804.0
01051030200,1167.0,354.0,403.0,1469.0,685.0,734.0
01051030300,390.0,148.0,157.0,682.0,533.0,573.0
01051030400,2085.0,625.0,802.0,2224.0,1011.0,1045.0
01051030500,1196.0,368.0,460.0,1400.0,602.0,717.0
01051030600,1703.0,688.0,938.0,2581.0,808.0,808.0
01051030701,1678.0,307.0,658.0,2158.0,847.0,711.0
01051030702,827.0,225.0,270.0,1111.0,659.0,616.0
01051030800,1489.0,554.0,703.0,1629.0,613.0,865.0
01051030901,1842.0,497.0,823.0,2143.0,628.0,412.0
01051030902,1043.0,332.0,466.0,1017.0,378.0,495.0
01051031000,1982.0,684.0,889.0,1919.0,585.0,559.0
01051031100,1182.0,310.0,448.0,1339.0,541.0,462.0
01051031200,519.0,157.0,182.0,534.0,212.0,236.0
01051031300,972.0,446.0,533.0,1233.0,446.0,399.0
01053969800,1566.0,486.0,615.0,1728.0,753.0,877.0
01053969900,1074.0,316.0,468.0,1273.0,564.0,708.0
01053970100,1103.0,266.0,402.0,1229.0,636.0,924.0
01053970200,403.0,156.0,206.0,492.0,235.0,265.0
01053970300,957.0,287.0,377.0,1034.0,469.0,552.0
01053970400,760.0,571.0,1206.0,2306.0,574.0,457.0
01053970500,1288.0,406.0,470.0,1300.0,653.0,753.0
01053970600,1198.0,408.0,421.0,1088.0,428.0,548.0
01053970700,881.0,263.0,400.0,871.0,416.0,728.0
01055000200,903.0,453.0,383.0,823.0,488.0,641.0
